aalib 1.4rc5-11
sysfsutils 2.1.0-9
systemd 227-1
systemd-emacs-daemon 1-6
systemd-sysvcompat 227-1
t1lib 5.1.2-5
taglib 1.10-1
talloc 2.1.5-1
tar 1.28-1
tcpdump 4.7.4-1
tdb 1.3.7-1
telepathy-farstream 0.6.2-2
telepathy-glib 0.24.1-1
telepathy-logger 0.8.2-1
telepathy-mission-control 5.16.3-1
tevent 0.9.25-1
texinfo 6.0-1
thin-provisioning-tools 0.5.6-1
tmux 2.1-1
totem 3.18.1-1
totem-plparser 3.10.5-1
tracker 1.6.0-2
ttf-dejavu 2.34-2
tzdata 2015g-1
udisks2 2.1.6-1
unzip 6.0-11
upower 0.99.3-1
usbmuxd 1.1.0-2
usbutils 008-1
util-linux 2.27-6
v4l-utils 1.6.3-1
vagrant 1.7.4-3
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.2-1
vim 7.4.884-1
vim-runtime 7.4.884-1
vino 3.18.1-1
virtualbox 5.0.10-1
virtualbox-host-modules 5.0.10-2.1
vte-common 0.42.1-1
vte3 0.42.1-1
wavpack 4.75.2-1
wayland 1.9.0-1
webkit2gtk 2.10.4-1
webkitgtk 2.4.9-2
webrtc-audio-processing 0.1-2
wget 1.16.3-1
which 2.21-1
wildmidi 0.3.8-1
wireless_tools 30.pre9-1
wpa_supplicant 1:2.3-1
x265 1.8-1
xapian-core 1:1.2.21-1
xcalib 0.9-1
xcb-proto 1.11-2
xcb-util 0.4.0-1
xcb-util-cursor 0.1.2-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xdg-user-dirs 0.15-2
xdg-user-dirs-gtk 0.10-2
xdg-utils 1.1.1-1
xextproto 7.3.0-1
xf86-input-libinput 0.15.0-2
xf86vidmodeproto 2.3.1-3
xfsprogs 4.2.0-1
xineramaproto 1.2.1-3
xkeyboard-config 2.16-1
xorg-bdftopcf 1.0.5-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-4
xorg-mkfontdir 1.0.7-2
xorg-mkfontscale 1.1.2-1
xorg-server 1.18.0-3
xorg-server-common 1.18.0-3
xorg-server-xwayland 1.18.0-3
xorg-setxkbmap 1.3.1-1
xorg-util-macros 1.19.0-1
xorg-xbacklight 1.2.1-1
xorg-xgamma 1.0.6-1
xorg-xhost 1.0.7-1
